"","TRAF4","CDH1","CDH2","VIM","FN1","ZEB1","ZEB2","SNAI1","SNAI2","SNAI3","TWIST1","TWIST2"
"TCGA.CK.6746.01A.11R.1839.07",-1.9158628992218,-0.870203472097212,-0.587528335272354,-0.729953788612172,-0.441211534330571,-0.719326417272961,-0.312757544709902,-1.00345989095966,-0.615127998762927,4.1832068812785,-0.662627640410354,-0.864591007562688
"TCGA.WS.AB45.01A.11R.A41B.07",-1.68231918042352,-2.22297737064463,7.81129977355323,5.25539934421686,7.13086567034128,3.56746699996741,7.6466772195956,2.58665029517987,6.54803730603595,0.479105848036,1.12375407748353,6.68294407569728
"TCGA.G4.6295.01A.11R.1723.07",-1.64223519325619,-0.554044454039174,-0.556145973375937,-0.552184744685836,-0.611397203730245,-0.636176625927545,-0.225607859059976,-0.319713848842882,-0.640745964280517,-0.266644951181574,-0.481211750305912,-0.254047133176241
"TCGA.AY.6196.01A.11R.1723.07",-1.54461053534815,-1.58779913697639,3.88815283761771,3.65489067639277,2.49198597787501,2.19508531118836,4.92842676507486,2.54265812439252,0.973967646225448,2.51999965227858,0.2051573713569,3.86117520506599
"TCGA.A6.2684.01A.01R.1410.07",-1.49490795927728,-0.354465672599924,0.836740398389069,0.699053392667892,-0.226756246557141,0.702121922311026,0.740193216095616,-0.534989159150321,0.518057036264943,0.677587409183096,0.0428013692487817,0.261709375459037
"TCGA.AZ.6598.01A.11R.1774.07",-1.48518796060325,-0.208526373999999,-0.223977552457617,-0.35340158957793,-0.148759142632072,-0.795606230506669,-0.402735559172293,-0.145637870024721,-0.390334939351647,0.346622046411436,-0.443059537866178,-0.457567341746325
"TCGA.F4.6569.01A.11R.1774.07",-1.41848291446885,0.0105425383304429,2.07234444178153,3.06131679038328,2.02592752877132,0.956917262793594,2.04052906517627,1.82677352256752,2.11197190904898,0.885351646760019,1.8364187317318,1.64871061085956
"TCGA.CK.5916.01A.11R.1653.07",-1.40215011816982,-0.967380446454927,-0.171346226256148,-0.020641286656275,0.109429875675776,0.0471193090932651,0.306165192716512,-0.466172850567388,-0.0903840547591826,0.320329090989271,-0.683922167921959,-0.777417118480939
"TCGA.D5.6534.01A.21R.1928.07",-1.3969008132573,-0.929964558557726,0.275525433143845,3.67984096114251,1.83142533767345,2.39536001848224,3.65624483261166,0.593475275828249,1.34402060575044,2.37092485778973,1.16155759811709,2.34640324734205
"TCGA.CM.6161.01A.11R.1653.07",-1.37658264138412,0.226370623993892,-0.141821163813795,-0.420086417609857,0.121792012439325,0.00515621401091653,0.410274616984067,-0.590189000643288,-0.270392879626098,-0.598066752016679,-0.500419919203199,-0.434148991066793
"TCGA.A6.A566.01A.11R.A28H.07",-1.3553301929419,-2.17539597672497,6.46928505732264,5.60036274333016,4.09258060334004,1.87900573043007,3.5126311757009,1.06225742352465,3.23867212119206,0.842064334603544,4.42531058696706,1.95561161429283
"TCGA.CM.6167.01A.11R.1653.07",-1.33882198898664,-0.749673387531455,0.44792846099834,2.04655731092391,0.155199804683,7.44310131536501,3.2046089009947,1.08763286647718,0.810347773514341,-0.243547062203523,0.306013869790984,1.97612361029218
"TCGA.CM.5864.01A.01R.1653.07",-1.33128911784171,-0.879087526101057,-0.502254882946916,-0.663176074771834,-0.654401485849176,-0.508068353377088,-0.601311375709661,-0.883579079765616,-0.552018243070904,-0.854351417221668,-0.681520712393097,-0.750480989802335
"TCGA.A6.6651.01A.21R.1839.07",-1.29929149464228,-1.53089675102133,2.43855825560577,3.10033228546815,1.05658172306331,3.85837722239218,1.9132634532051,2.01053090412186,0.627187303524525,1.56819360451233,0.396062080678378,3.30964624444491
"TCGA.CM.6162.01A.11R.1653.07",-1.28817547827337,-0.0524318291376973,2.71888461437181,2.08521001588821,2.04257150636706,1.55714044321624,2.01735555796054,1.24490009026065,1.10320165946133,-0.0658122032658024,1.2965916857784,2.38589449321258
"TCGA.D5.6928.01A.11R.1928.07",-1.27455873105149,-1.46263778872492,-0.0693829563539379,1.45653928785673,0.404600300061598,0.85001520545112,2.55386287213318,-0.281589061482371,0.431191018396795,4.55262449718572,0.420707988240634,0.811965235470923
"TCGA.G4.6302.01A.11R.1723.07",-1.26771967885452,-1.51691136066649,4.54478288653286,3.18361881322229,1.58538992217428,5.95823638027354,1.29244711578697,0.498706909717455,0.553961409640036,0.901151834142294,0.408876794166213,4.51341312440333
"TCGA.CA.5797.01A.01R.1653.07",-1.26191205208233,1.65194666229532,0.104973823491185,-0.280886974050592,-0.380928763995901,0.00414130284249228,-0.340394500132279,-0.206070158665965,-0.247666185774755,-0.728788490419571,-0.242347437079503,-0.14765947569004
"TCGA.AA.3489.01A.21R.1839.07",-1.23576977790002,-0.229546506584034,0.235221211615331,1.61159880114324,2.08726798513543,1.36213658468631,2.8968970654224,1.91168111919446,1.1359616755202,0.7893138937596,0.45779790703832,2.88475729179041
"TCGA.D5.6541.01A.11R.1723.07",-1.22508581828437,0.849118779069759,1.52122641036385,0.827618546355687,0.468036083784932,0.0391088581396757,1.25447933380223,-0.0869695378038103,1.38659398476083,-0.266066442473254,0.360508259339097,-0.628874754639199
"TCGA.AA.A01P.01A.21R.A083.07",-1.16055057195918,-0.670883879344105,-0.0517097934043999,0.585956217790638,0.0295549085399283,0.572721844945439,0.426325868465979,0.0134626359772654,0.558535502120276,1.2985554722419,0.614419608679544,0.24198469167853
"TCGA.AA.A01Z.01A.11R.A083.07",-1.1530246603083,-0.175692726499084,-0.514346737530693,-0.785795580018876,-0.635267787434375,-0.715640441946255,-0.680282577803335,-0.578650106679704,-0.701114179607067,-0.688011587612043,-0.450126049552653,-0.720806019681597
